index,x,y,z,type
0,0,50000,5000,3
1,76009.85,9788.11,9121.9,1
2,2448.2,71599.88,1877.13,0
3,27800.93,15218.07,8345.41,0
4,50056.73,91668.09,1465.09,0
5,25311.15,51225.79,1330.35,0
6,66791.68,41837.61,343.05,1
7,35343.52,93569.37,4751.54,0
8,28165.24,61559.66,5480.81,0
9,60241.16,32796.42,8658.59,0
10,16543.86,34014.41,6051.73,1
11,98086.6,91631.13,9592.69,1
12,74713.26,46277.03,5954.76,0
13,57040,80371.29,1776.01,0
14,31642.27,2151.06,8462.85,0
15,67121.54,13614.73,9915,1
16,84170.98,48520.7,6543.23,0
17,79986.49,98628.33,7918.52,0
18,70515.22,30753.5,333.83,1
19,67028.01,72616.16,9219.81,1
20,70495.82,94075.45,5639.51,1
21,56319.84,6126.65,9431.83,1
22,92681.15,43116.78,8712.08,1
23,3856,9422.5,8455.23,1
24,24249.66,96350.75,9648.36,0
25,57358.43,108.67,3414.24,1
26,13512.55,8999.61,7183.23,0
27,52962.84,95711.53,1034.07,1
28,11814.76,52.62,6435.65,0
29,57786.19,13681.82,2582.23,0
30,35676.61,83265.21,3967.99,0
31,21630.94,43809.57,3993.8,0
32,52226.17,94586.13,5652.55,1
33,59129.34,80211.71,5183.39,0
34,93328.5,95547.96,4295.87,1
35,63668.98,84461.74,8791.3,0
36,37749.34,34360.57,6200.01,1
37,11248.89,33918.67,9150.4,1
38,81748.55,71186.88,534.4,0
39,70419.78,42495.24,9969.01,0
40,13581.66,63600.43,189.21,0
41,56370.56,73489.37,3025.33,1
42,51547.94,18628.33,2039.77,1
43,54264.19,6487.53,6996.69,0
44,63730.96,52737.27,7069.51,1
45,57201.39,62250.8,4688.61,0
46,50809.7,51850.76,9513.81,0
47,39956.66,40188.18,9100.46,0
48,4576,74866.45,2333.69,1
49,58214.39,65753.29,4194.7,0
50,71937.11,77174.69,5575.07,0
51,70924.68,43597.79,9647.25,0
52,27474.23,94463.48,816.63,1
53,36119.93,29099.02,4521.46,0
54,42850.35,56098.05,9809.63,0
55,35387.1,13689.9,3566.52,1
56,13469.68,70397.76,669.93,0
57,54183.35,88365.02,7078.58,0
58,22860.63,68012.63,544.1,1
59,98918.95,70497.35,5733.93,1
60,24164.69,39216.18,8380.48,1
61,87932.99,72373.74,5346.58,0
62,60948.68,93142.76,7909.86,0
63,67741.03,56443.86,388.71,1
64,76919.89,11363.27,3400.42,0
65,17735.84,78983.6,2623.5,1
66,31137.69,1888.36,549.8,1
67,27463.4,95004.05,3607.67,1
68,56755.82,98668.54,6770.82,0
69,45269.97,20734.11,1782.45,0
70,64942.51,55054.35,1312.42,1
71,91164.96,52685.52,6309.89,1
72,78564.76,87712.32,3859.44,0
73,56926.53,41554.35,6274.09,1
74,10173.53,19262.81,4590.12,1
75,18451.81,65375.75,9921,0
76,64131.25,37555.94,1719.59,0
77,61969,32364.48,5559.66,0
78,27094.85,6847.81,8872.57,0
79,40283.57,45115.84,3540.34,0
80,57381.54,17331.82,5658.61,1
81,92697.13,44340.44,2931.48,1
82,61621.19,44398.48,4624.18,0
83,81250.15,35445.47,6691.53,1
84,91993.82,64539.1,3004.87,0
85,58269.19,25283.77,6199.73,1
86,55528.57,43267.27,1265.29,0
87,77695.69,91181.26,396.38,0
88,73555.69,76284.83,6989.74,1
89,20201.08,29693.59,5920.35,1
90,45048.5,75139.78,2040.09,0
91,1181.09,66572.82,7188.14,1
92,69704.89,66433.09,4985.05,0
93,79005.75,68248.83,5381.18,1
94,3596.04,78492.09,9842.33,0
95,25614.66,3339.72,2992.33,1
96,83225.5,76403.16,7249.06,1
97,94019.14,84846.59,3685.8,0
98,64053.33,25762.35,6122.71,1
99,92711.21,75096.72,848.45,0
100,19121.82,39665.63,5341.84,0
101,91373.43,52953.57,8338.3,1
102,7017.34,1190,1041.99,0
103,47848.37,31772.1,9009.27,0
104,12806.47,58720.21,2384.63,0
105,13090.42,50889.45,656.35,1
106,5955.25,96614.13,8205.53,1
107,92841.74,16073.16,5024.31,0
108,48254.75,45291.03,3049.71,0
109,54400.19,17053.56,7460.2,1
110,83522.47,74687.82,654.17,1
111,39222.52,6109,4055.56,1
112,40921.49,29165.76,6524.22,1
113,62044.21,4940.74,3076.76,1
114,17780.02,52287.88,5425.18,1
115,57413.36,60947.74,2901.34,0
116,39985.5,33163.92,7387.57,0
117,53959.97,22388.16,8238.08,0
118,97839.01,98443.78,6666.17,1
119,48746.76,43917.42,5045.67,1
120,92962.58,40597.67,9202.21,1
121,44286.2,57515.65,7118.28,0
122,71773.32,15915.85,4720.28,1
123,47236.34,61603.81,5322.93,1
124,97583.49,69943.33,8845.05,1
125,47865.29,52563.75,9507.17,0
126,34078.53,40696,9526.58,1
127,5378.84,94384.5,3355.61,0
128,21953.98,55862.26,1472.65,1
129,94301.56,29458.04,1822.98,1
130,16551.08,95488.8,5065.2,0
131,19903.68,13075.97,5150.3,1
132,26997.58,26754.07,8587.8,1
133,23143.01,19507.03,2216.36,1
134,96920.3,17906.84,4435.79,1
135,99186.9,74360.07,4781.35,0
136,1476.63,62035.44,6772.92,1
137,24641.03,41360.93,6177.16,1
138,69060.92,68437.68,1987.48,0
139,88095.62,11736.58,3848.62,1
140,2959.76,54815.73,4809.83,1
141,92983.81,60814,5257.98,0
142,20241.7,87369.41,6846.66,0
143,53303.88,30687.6,2201.63,0
144,37473.26,12389.27,4634.85,0
145,40218.99,96011.57,3667.55,1
146,21834.17,31480.09,9626.92,1
147,25548.06,5512.2,6243.16,0
148,34670.54,71064.48,2891.6,1
149,25859.47,68211.91,8253.97,1
150,9523.97,55061.82,6392.56,0
151,39157.89,35743.11,5266.55,0
152,406.49,12692.62,4458.74,1
153,75724.75,6665.29,9390.28,0
154,50905.97,87113.15,751.67,0
155,31507.65,97024.55,6371.07,0
156,48630.87,79622.37,7176.53,1
157,2969.1,42260.96,9593.54,1
158,19400.21,67404.37,2077.66,0
159,71998.12,91015.23,8416.92,0
160,64420.22,64125.83,5321.06,1
161,93293.73,67328.27,6613.48,0
162,13020.07,66713.28,5993.3,0
163,12712.84,53865.15,4887.55,0
164,61434.82,79512.67,7362.7,1
165,57399.42,8108.32,4822.34,0
166,90959.62,80891.81,5383.08,1
167,57743.59,40267.54,1812.34,1
168,51880.03,51866.71,2868.8,1
169,5355.87,42648.17,6791.13,0
170,48315.13,64174.4,4231.56,0
171,48611.04,46509.25,1534.42,0
172,16443.47,98754.63,1949.96,1
173,23240.64,67282.81,3935.73,1
174,55636.18,75135.5,6611.08,1
175,74854.09,61225.62,9025.61,1
176,28909.49,60754.76,1811.06,1
177,75314.31,81275.7,4756.93,1
178,89812.08,15796.76,6143.13,1
179,42261.36,5529.52,9765.86,0
180,12122.44,66304.04,3518.39,1
181,64352.58,56211.88,5329.47,1
182,12376.07,72197.36,9759.01,1
183,58893.54,816.91,4642.45,1
184,1882.04,52353.79,5488.4,0
185,24846.71,13423.02,1492.57,1
186,80796.31,50156.28,9270.51,1
187,78120.96,72875.15,9168.73,1
188,22946.42,50574.53,4727.06,0
189,51744.08,9994.09,3798.53,0
190,38903.06,39917.1,3912.85,1
191,66212.9,65927.82,5265.24,0
192,41107.82,92713.14,8598.15,0
193,70368.51,13362.79,5930.3,0
194,32919.75,41687.17,791.23,0
195,28754.85,86940.68,1365.22,0
196,42192.21,45178.58,2558.98,0
197,39477.61,24667.19,5731.15,0
198,22477.81,41814.07,3437.28,0
199,78800.66,13830.51,5874.89,0
200,74266.92,13914.85,5150.77,0
201,75914.52,38312.2,9246.13,1
202,96410.82,45690.97,4122.15,0
203,77935.31,31116.36,871.02,0
204,11317.99,97582.59,8291.1,0
205,40406.15,42602.55,822.48,1
206,19666.49,11056.03,9842.63,1
207,62069.32,46590.75,3388.11,0
208,24222.87,591.59,4348.14,0
209,20780.28,62873.78,592.42,0
210,84330.43,84367.93,5055.31,1
211,67986.88,50271.79,9525.2,0
212,90042.23,82683.18,2106.33,0
213,57733.18,80362.14,6903.25,0
214,32948.08,1484.86,4815.49,1
215,46282.43,24274.94,1914.74,0
216,81244.99,50019.32,3903.23,1
217,96879.21,23625.39,7942.12,1
218,22327.67,73379.17,7332.37,1
219,80268.75,45220.36,597.17,1
220,57887.42,19556.32,5505.39,0
221,59683.75,71771.34,3048.06,0
222,26842.64,57779.43,7803.91,1
223,83406.36,31002.26,5304.76,0
224,72690.66,98974.3,5004.49,0
225,34399.02,66253.67,5653.3,1
226,8116.96,64559.16,6254.41,0
227,32695.29,54845.69,3099.86,0
228,68030.85,2267.42,2525.5,0
229,34373.38,68125.79,9471.18,1
230,36505.55,63280.96,6852.73,0
231,55874.1,65143.36,6705.83,0
232,11783.93,11515.53,4840.41,1
233,92320.17,44654.74,7915.41,0
234,22266.29,52391.96,6053.27,0
235,19379.64,73139.41,4127.84,1
236,23837.18,21642.35,968.53,0
237,11294.29,74262.77,6375.79,1
238,20308.94,53289.14,6988.59,1
239,48994.54,94087.22,455.03,0
240,81758.75,25855.45,4988.33,0
241,12615.4,94783.4,8163.23,0
242,61677.32,98312.19,6689.07,0
243,55301.02,38898.81,4583.68,0
244,70084.16,82580.75,9966.02,0
245,4818.61,79192.34,6102.69,0
246,75671.41,84853.05,753.62,1
247,76993.36,76037.26,2215.12,1
248,29474.78,34659.3,2282.45,1
249,69462.28,42514.45,8911.83,0
250,49453.64,35125.89,4595.6,1
251,20323.57,46498.18,4933.68,0
252,7816.31,42356.16,3036.62,0
253,61465.99,30403.12,9687.7,1
254,84765.33,92537.8,9649.01,1
255,41660.02,67979.1,5481.76,0
256,3010.44,72303.21,2789.5,1
257,12147.78,89030.79,1998.83,1
258,44498.04,39082.77,429.44,0
259,3803.03,71867.43,5767.09,0
260,81.17,57233.96,9167.57,1
261,47832.01,18059.31,1702.05,0
262,65305.81,29357.58,7090.9,0
263,93846.36,32330.95,1659.1,0
264,1909.73,38390.74,9218.74,0
265,55300.95,5643.42,6318.63,1
266,12661.36,36676.62,5895.19,1
267,37818.76,65391.55,834.13,0
268,42839.38,28758.76,7423.94,0
269,63434.17,68682.19,868.74,0
270,18982.92,37086.42,4984.29,0
271,9721.97,66412.88,2487.87,0
272,98083.66,40558.43,2705.92,1
273,47247.55,28496.01,4978.04,1
274,72027.39,41299.28,9027.04,1
275,1749.47,54054.88,8617.47,1
276,77111.44,30904.41,9628.08,1
277,35437.38,85409.32,2802.26,0
278,27326.01,7232.09,7152.02,1
279,81849.21,59133.23,2658.19,0
280,15426.51,79050.53,6342.56,0
281,28778.8,15253.38,8331.88,1
282,87547.1,54849.05,4567.32,1
283,10973.22,98994.3,4207.15,0
284,84700.79,32370.88,2831.13,1
285,1298.38,3794.94,4224.18,1
286,84894.78,5551.6,6532.94,0
287,85208.25,69275.43,851.01,1
288,5765.45,64775.03,4847.7,1
289,67298.4,80013.02,869.91,1
290,18177.86,65412.14,834.63,1
291,89731.24,62637.81,9281.63,1
292,93218.47,76188.67,4665.56,1
293,47540.66,86054.07,4892.78,0
294,92085.06,94335.34,8152.86,1
295,70985.64,92800.41,7920.14,1
296,42780.27,34071.24,2442.21,0
297,98094.42,19263.68,6257.75,0
298,49331.58,17977.19,823.5,1
299,18132.23,99533.36,8933.13,0
300,60508.68,17501.77,6842.43,1
301,80155.73,62811.07,5511.12,1
302,89408.07,59205.25,7790.32,1
303,70381.44,99742.62,2114,0
304,41317.47,28859.28,2290.05,0
305,38934.35,57664.73,4792.31,0
306,9281.76,68944.42,6651.17,0
307,8358.5,86153.95,3360.28,1
308,26864.86,83999.4,4965.1,1
309,33371.04,59710.97,5490.94,1
310,24978.35,86396.06,7091.38,1
311,82748.45,79465.11,3775.65,1
312,97367.79,99555.14,5738.22,1
313,79576.69,81342.2,1308.51,0
314,51362.09,56648.11,3016.93,0
315,76104.91,7039.34,9484.91,1
316,67581.97,26708.67,6763.69,0
317,77444.32,9179.86,6107.78,1
318,51957.21,79425.64,2611.08,0
319,62628.01,37415.7,9606.73,0
320,55126.58,86886.78,684.13,0
321,73644.23,53348.91,5213.06,1
322,7946.31,39584.64,5737.07,1
323,78846.7,73662.65,3906.98,1
324,63645.56,71435.22,6263.13,0
325,19134.86,85017.87,2434.51,0
326,100000,74860.55,5499.61,4
